Net Status Report
Filename     : D:\PAY_IFB\hw\HW\PAY_IFB\2_PAY_IFP_V2\SpaceLiin_Satellite_4U_IFP_HW_2.0.0\01_DESIGN\BEE-1012 PAY-IF V1.1.0.PcbDoc
Date         : 29-Mar-26
Time         : 4:10:33 PM
Time Elapsed : 00:00:00

Nets, Layer, Length
    NetR223_2, Signal Layers Only, 0mm
    NetR225_1, Signal Layers Only, 0mm
    NetR227_2, Signal Layers Only, 0mm
    NetR229_1, Signal Layers Only, 0mm
    NetR22_2, Signal Layers Only, 2.5567mm
    NetR233_1, Signal Layers Only, 0mm
    NetR239_2, Signal Layers Only, 0mm
    NetR23_2, Signal Layers Only, 2.5866mm
    NetR241_2, Signal Layers Only, 0mm
    NetR246_2, Signal Layers Only, 2.3527mm
    NetR24_1, Signal Layers Only, 5.3831mm
    NetR254_2, Signal Layers Only, 0mm
    NetR25_1, Signal Layers Only, 0mm
    NetR26_1, Signal Layers Only, 2.8342mm
    NetR27_1, Signal Layers Only, 2.4915mm
    NetR28_2, Signal Layers Only, 5.0696mm
    NetR291_1, Signal Layers Only, 0mm
    NetR294_1, Signal Layers Only, 0mm
    NetR29_1, Signal Layers Only, 1.4913mm
    NetR306_1, Signal Layers Only, 2.6079mm
    NetR307_1, Signal Layers Only, 1.5488mm
    NetR308_1, Signal Layers Only, 1.7728mm
    NetR314_2, Signal Layers Only, 0mm
    NetR317_2, Signal Layers Only, 0mm
    NetR322_2, Signal Layers Only, 0mm
    NetR328_2, Signal Layers Only, 0mm
    NetR330_2, Signal Layers Only, 0mm
    NetR331_2, Signal Layers Only, 0mm
    NetR332_2, Signal Layers Only, 0mm
    NetR333_2, Signal Layers Only, 0mm
    NetR334_2, Signal Layers Only, 0mm
    NetR336_2, Signal Layers Only, 0mm
    NetR337_2, Signal Layers Only, 0mm
    NetR338_2, Signal Layers Only, 0mm
    NetR339_1, Signal Layers Only, 0mm
    NetR33_1, Signal Layers Only, 0mm
    NetR340_1, Signal Layers Only, 0mm
    NetR345_1, Signal Layers Only, 0mm
    NetR346_1, Signal Layers Only, 0mm
    NetR347_1, Signal Layers Only, 0mm
    NetR348_1, Signal Layers Only, 0mm
    NetR349_1, Signal Layers Only, 0mm
    NetR351_2, Signal Layers Only, 0mm
    NetR352_1, Signal Layers Only, 0mm
    NetR356_1, Signal Layers Only, 3.4653mm
    NetR357_2, Signal Layers Only, 1.6511mm
    NetR358_2, Signal Layers Only, 1.938mm
    NetR366_1, Signal Layers Only, 2.8341mm
    NetR367_1, Signal Layers Only, 2.7958mm
    NetR369_1, Signal Layers Only, 2.848mm
    NetR371_2, Signal Layers Only, 1.6317mm
    NetR374_1, Signal Layers Only, 1.578mm
    NetR378_2, Signal Layers Only, 0mm
    NetR3_2, Signal Layers Only, 0mm
    NetR4_2, Signal Layers Only, 0mm
    NetR5_2, Signal Layers Only, 2.3041mm
    NetR64_1, Signal Layers Only, 0mm
    NetR64_2, Signal Layers Only, 0mm
    NetR67_1, Signal Layers Only, 0mm
    NetR67_2, Signal Layers Only, 0mm
    NetR6_2, Signal Layers Only, 2.6452mm
    NetR7_2, Signal Layers Only, 1.6239mm
    NetR8_1, Signal Layers Only, 4.5852mm
    NetR91_1, Signal Layers Only, 0mm
    NetR95_1, Signal Layers Only, 0mm
    NetR96_1, Signal Layers Only, 0mm
    NetR97_1, Signal Layers Only, 0mm
    NetR98_1, Signal Layers Only, 0mm
    NetU10_11, Signal Layers Only, 0mm
    NetU10_5, Signal Layers Only, 0mm
    NetU11_14, Signal Layers Only, 0mm
    NetU11_5, Signal Layers Only, 0mm
    OSC_LVDS_ENABLE, Signal Layers Only, 0mm
    OSC_LVDS_N, Signal Layers Only, 0mm
    OSC_LVDS_P, Signal Layers Only, 0mm
    PHY_LVDS_RXC_N, Signal Layers Only, 1.654mm
    PHY_LVDS_RXC_P, Signal Layers Only, 1.5648mm
    PHY_LVDS_RXD_N, Signal Layers Only, 1.5468mm
    PHY_LVDS_RXD_P, Signal Layers Only, 1.5673mm
    PHY_LVDS_TXC_N, Signal Layers Only, 1.5638mm
    PHY_LVDS_TXC_P, Signal Layers Only, 1.5503mm
    PHY_LVDS_TXD_N, Signal Layers Only, 1.6858mm
    PHY_LVDS_TXD_P, Signal Layers Only, 1.5333mm
    POW_ONOFF_FPGA, Signal Layers Only, 3.7174mm
    RS422_DE, Signal Layers Only, 0mm
    RS422_R\E\, Signal Layers Only, 0mm
    RS_422_RX_N, Signal Layers Only, 35.5741mm
    RS_422_RX_P, Signal Layers Only, 35.0906mm
    RS_422_TX_N, Signal Layers Only, 43.8698mm
    RS_422_TX_P, Signal Layers Only, 44.4801mm
    SAMA7_FLASH_SPI_FPGA_SEL, Signal Layers Only, 0mm
    SAMA7_FLASH_SPI_MCLK, Signal Layers Only, 0mm
    SAMA7_FLASH_SPI_MCSN, Signal Layers Only, 0mm
